Age,Gender,Diet Type,Allergies,Goal,Physical Activity Level,Height (cm),Weight (kg),Diet Plan
33,Female,Gluten-Free,Gluten,Diabetes Management,Moderate,168,77,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
69,Female,Dairy-Free,Lactose,Diabetes Management,Moderate,164,95,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
65,Male,Non-Vegetarian,Nuts,Muscle Gain,Active,162,119,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
31,Female,Gluten-Free,Shellfish,Weight Gain,Moderate,151,107,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
42,Male,Vegan,Nuts,Muscle Gain,Sedentary,195,87,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
64,Male,Dairy-Free,Lactose,Weight Loss,Active,190,58,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
42,Male,Non-Vegetarian,Lactose,Muscle Gain,Sedentary,181,80,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
27,Female,Gluten-Free,Lactose,Muscle Gain,Sedentary,193,65,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
42,Female,Gluten-Free,Lactose,Diabetes Management,Active,165,72,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
25,Female,Vegetarian,None,Diabetes Management,Active,180,118,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
67,Male,Vegetarian,Nuts,Diabetes Management,Active,185,110,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
21,Male,Vegan,Lactose,Weight Gain,Moderate,156,95,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
20,Female,Vegan,None,Diabetes Management,Active,193,98,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
67,Female,Non-Vegetarian,Gluten,Weight Gain,Sedentary,162,61,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
21,Female,Non-Vegetarian,Lactose,Muscle Gain,Sedentary,160,78,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
67,Female,Non-Vegetarian,None,Weight Gain,Sedentary,162,64,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
69,Female,Vegan,Shellfish,Weight Gain,Sedentary,152,75,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
20,Female,Non-Vegetarian,None,Diabetes Management,Moderate,200,76,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
64,Female,Gluten-Free,Gluten,Weight Gain,Moderate,166,86,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
67,Female,Non-Vegetarian,Gluten,Weight Loss,Active,181,105,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
56,Male,Gluten-Free,Gluten,PCOD/PCOS Cure,Moderate,157,75,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
26,Female,Gluten-Free,Shellfish,Weight Gain,Moderate,183,95,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
18,Male,Gluten-Free,None,Weight Gain,Active,150,85,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
33,Male,Vegan,Shellfish,PCOD/PCOS Cure,Active,192,70,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
56,Female,Vegetarian,Shellfish,Diabetes Management,Sedentary,195,62,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
42,Female,Vegan,None,Weight Loss,Sedentary,152,108,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
18,Male,Vegetarian,Shellfish,Diabetes Management,Sedentary,169,99,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
35,Male,Vegan,Gluten,Diabetes Management,Moderate,173,81,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
25,Female,Vegan,Shellfish,Diabetes Management,Sedentary,155,113,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
47,Female,Vegetarian,None,Weight Gain,Sedentary,174,116,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
19,Male,Dairy-Free,Shellfish,Weight Loss,Sedentary,171,98,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
51,Female,Vegetarian,Shellfish,Muscle Gain,Active,155,50,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
33,Male,Vegan,Gluten,Weight Loss,Sedentary,172,93,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
33,Female,Gluten-Free,Lactose,Diabetes Management,Moderate,198,76,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
45,Female,Gluten-Free,Nuts,Weight Gain,Moderate,172,101,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
70,Male,Vegetarian,Lactose,Weight Gain,Sedentary,178,110,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
62,Male,Vegan,None,Diabetes Management,Moderate,169,108,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
56,Male,Dairy-Free,Gluten,Muscle Gain,Sedentary,179,97,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
56,Female,Dairy-Free,Gluten,PCOD/PCOS Cure,Sedentary,182,54,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
33,Female,Non-Vegetarian,Nuts,Weight Gain,Active,191,101,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
45,Male,Vegetarian,None,Diabetes Management,Sedentary,180,63,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
29,Male,Gluten-Free,None,Weight Gain,Sedentary,155,81,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
29,Male,Gluten-Free,None,Diabetes Management,Sedentary,158,63,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
56,Male,Dairy-Free,Nuts,PCOD/PCOS Cure,Moderate,183,67,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
21,Female,Non-Vegetarian,Gluten,Weight Gain,Moderate,150,103,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
61,Female,Dairy-Free,None,Weight Loss,Sedentary,156,101,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
49,Female,Vegetarian,Lactose,Weight Loss,Sedentary,167,118,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
59,Male,Gluten-Free,Lactose,Weight Gain,Active,163,60,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
57,Female,Vegan,None,Diabetes Management,Active,156,55,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
42,Male,Gluten-Free,Nuts,Diabetes Management,Moderate,194,105,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
44,Male,Gluten-Free,Lactose,Diabetes Management,Active,150,63,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
30,Male,Vegetarian,Gluten,Weight Loss,Moderate,168,104,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
50,Female,Non-Vegetarian,Shellfish,Weight Gain,Moderate,160,106,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
62,Female,Vegan,None,Muscle Gain,Moderate,154,114,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
42,Male,Vegetarian,Shellfish,Weight Gain,Active,184,110,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
31,Male,Dairy-Free,Nuts,Weight Gain,Moderate,200,88,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
44,Male,Vegetarian,Gluten,Weight Loss,Sedentary,153,99,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
27,Female,Dairy-Free,Shellfish,Weight Loss,Sedentary,188,97,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
32,Female,Non-Vegetarian,Gluten,Weight Gain,Sedentary,170,114,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
70,Female,Vegetarian,None,Muscle Gain,Moderate,169,85,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
19,Male,Vegan,Shellfish,Weight Loss,Active,171,62,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
33,Female,Dairy-Free,Nuts,Muscle Gain,Sedentary,183,81,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
31,Female,Vegetarian,Nuts,PCOD/PCOS Cure,Sedentary,167,87,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
68,Female,Gluten-Free,Shellfish,PCOD/PCOS Cure,Moderate,169,87,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
42,Male,Vegetarian,Nuts,Weight Loss,Moderate,159,87,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
35,Female,Gluten-Free,Shellfish,PCOD/PCOS Cure,Active,171,101,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
59,Male,Dairy-Free,Gluten,Weight Loss,Active,188,80,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
58,Female,Vegetarian,Nuts,PCOD/PCOS Cure,Active,192,87,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
50,Female,Vegetarian,Nuts,Weight Gain,Moderate,165,119,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
28,Male,Vegetarian,Nuts,Muscle Gain,Sedentary,179,70,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
18,Male,Non-Vegetarian,Lactose,Diabetes Management,Sedentary,197,107,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
68,Male,Gluten-Free,Lactose,Muscle Gain,Sedentary,169,113,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
69,Female,Non-Vegetarian,Shellfish,Weight Loss,Active,157,112,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
49,Male,Dairy-Free,Shellfish,Weight Loss,Sedentary,169,113,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
24,Female,Gluten-Free,None,PCOD/PCOS Cure,Active,193,76,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
27,Female,Non-Vegetarian,None,Muscle Gain,Sedentary,153,86,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
64,Female,Non-Vegetarian,Gluten,PCOD/PCOS Cure,Active,179,70,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
56,Male,Non-Vegetarian,Gluten,Weight Gain,Moderate,167,106,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
27,Male,Non-Vegetarian,Nuts,Weight Gain,Moderate,177,76,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
49,Male,Dairy-Free,None,Muscle Gain,Moderate,169,99,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
28,Male,Dairy-Free,Lactose,PCOD/PCOS Cure,Active,163,52,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
47,Female,Dairy-Free,Shellfish,Weight Loss,Sedentary,184,63,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
48,Female,Dairy-Free,None,Weight Gain,Moderate,188,69,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
30,Male,Non-Vegetarian,Gluten,PCOD/PCOS Cure,Active,188,53,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
68,Male,Gluten-Free,Shellfish,Weight Gain,Active,152,70,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
22,Male,Dairy-Free,Shellfish,PCOD/PCOS Cure,Moderate,166,63,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
30,Female,Vegan,None,Diabetes Management,Moderate,168,101,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
45,Female,Gluten-Free,Nuts,Weight Gain,Sedentary,170,79,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
38,Male,Non-Vegetarian,Nuts,Weight Gain,Active,158,84,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
22,Female,Vegetarian,Lactose,PCOD/PCOS Cure,Moderate,157,58,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
54,Male,Gluten-Free,None,Diabetes Management,Sedentary,193,108,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
63,Male,Dairy-Free,Shellfish,Weight Loss,Active,163,76,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
45,Female,Vegan,Lactose,Weight Loss,Sedentary,191,63,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
45,Female,Dairy-Free,Lactose,Muscle Gain,Sedentary,150,90,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
37,Male,Vegetarian,None,Weight Loss,Active,157,57,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
21,Male,Gluten-Free,Shellfish,Muscle Gain,Active,151,77,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
69,Male,Dairy-Free,None,PCOD/PCOS Cure,Active,186,89,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
64,Male,Vegetarian,Shellfish,Diabetes Management,Active,164,120,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
34,Male,Vegan,Gluten,PCOD/PCOS Cure,Moderate,176,100,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
63,Female,Dairy-Free,Shellfish,Diabetes Management,Moderate,153,110,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
38,Female,Non-Vegetarian,Shellfish,Muscle Gain,Moderate,197,89,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
21,Male,Dairy-Free,Lactose,Weight Gain,Sedentary,186,84,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
22,Female,Dairy-Free,Shellfish,Muscle Gain,Active,193,52,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
28,Female,Vegan,Nuts,Muscle Gain,Sedentary,172,51,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
43,Male,Vegan,Nuts,Weight Loss,Sedentary,176,103,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
70,Female,Dairy-Free,Shellfish,Muscle Gain,Active,154,73,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
56,Male,Dairy-Free,Nuts,Diabetes Management,Active,186,109,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
43,Male,Vegetarian,Nuts,Muscle Gain,Active,199,65,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
36,Male,Vegan,Gluten,Weight Loss,Moderate,193,101,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
70,Female,Dairy-Free,Shellfish,PCOD/PCOS Cure,Moderate,194,90,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
69,Male,Non-Vegetarian,None,Muscle Gain,Active,196,107,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
21,Female,Vegan,Gluten,Diabetes Management,Sedentary,183,118,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
40,Female,Dairy-Free,None,Weight Gain,Active,176,98,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
48,Male,Vegetarian,Lactose,Muscle Gain,Moderate,194,57,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
42,Female,Non-Vegetarian,None,Weight Loss,Sedentary,170,85,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
24,Female,Non-Vegetarian,None,Weight Loss,Sedentary,157,61,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
21,Male,Vegetarian,Gluten,Weight Gain,Sedentary,176,101,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
54,Male,Gluten-Free,Nuts,Weight Loss,Sedentary,177,91,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
65,Female,Dairy-Free,Gluten,Weight Loss,Active,171,87,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
51,Male,Vegan,None,Weight Gain,Moderate,167,90,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
35,Male,Vegan,None,Diabetes Management,Active,154,80,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
33,Male,Gluten-Free,Nuts,Weight Gain,Moderate,183,56,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
40,Male,Gluten-Free,Shellfish,Weight Gain,Active,157,67,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
45,Female,Gluten-Free,Nuts,Diabetes Management,Sedentary,164,69,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
24,Female,Non-Vegetarian,Lactose,Muscle Gain,Active,170,108,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
52,Female,Non-Vegetarian,None,Diabetes Management,Sedentary,196,105,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
66,Female,Dairy-Free,Shellfish,Weight Gain,Active,158,67,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
25,Male,Non-Vegetarian,Gluten,Weight Gain,Moderate,181,53,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
36,Female,Non-Vegetarian,Nuts,PCOD/PCOS Cure,Moderate,175,105,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
54,Female,Gluten-Free,Nuts,Weight Loss,Moderate,157,67,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
64,Female,Gluten-Free,None,Weight Gain,Sedentary,182,85,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
47,Male,Vegetarian,Lactose,Weight Gain,Active,175,100,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
59,Male,Vegan,Lactose,Diabetes Management,Active,188,85,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
24,Female,Vegetarian,Lactose,PCOD/PCOS Cure,Sedentary,198,65,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
19,Female,Vegetarian,None,PCOD/PCOS Cure,Active,194,115,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
40,Female,Dairy-Free,Nuts,Weight Gain,Moderate,172,54,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
34,Female,Dairy-Free,Gluten,Weight Loss,Moderate,183,63,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
40,Male,Vegetarian,Lactose,Weight Gain,Moderate,182,95,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
48,Female,Gluten-Free,Shellfish,Weight Loss,Moderate,170,80,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
48,Female,Non-Vegetarian,Shellfish,Diabetes Management,Sedentary,178,75,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
42,Female,Gluten-Free,Gluten,Weight Gain,Active,181,106,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
21,Male,Vegan,None,Weight Gain,Sedentary,153,92,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
67,Female,Vegan,Shellfish,Weight Gain,Sedentary,193,77,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
60,Female,Dairy-Free,Gluten,Weight Loss,Active,150,62,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
47,Male,Vegetarian,Gluten,Diabetes Management,Sedentary,170,99,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
25,Male,Non-Vegetarian,Lactose,Weight Loss,Moderate,164,98,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
68,Female,Gluten-Free,Gluten,PCOD/PCOS Cure,Moderate,172,96,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
65,Female,Dairy-Free,Lactose,PCOD/PCOS Cure,Moderate,153,79,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
52,Male,Gluten-Free,Nuts,Diabetes Management,Active,188,58,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
23,Female,Non-Vegetarian,None,Muscle Gain,Active,172,90,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
22,Male,Vegetarian,None,PCOD/PCOS Cure,Sedentary,188,97,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
51,Male,Dairy-Free,Shellfish,Muscle Gain,Moderate,192,86,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
53,Male,Vegetarian,None,Muscle Gain,Active,193,89,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
70,Male,Vegan,Nuts,Weight Loss,Moderate,153,85,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
33,Male,Non-Vegetarian,Shellfish,PCOD/PCOS Cure,Sedentary,158,119,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
20,Male,Gluten-Free,None,Weight Gain,Sedentary,186,103,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
49,Male,Non-Vegetarian,None,PCOD/PCOS Cure,Active,190,66,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
58,Male,Gluten-Free,Shellfish,Diabetes Management,Active,174,82,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
45,Female,Non-Vegetarian,Gluten,Weight Gain,Moderate,164,77,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
34,Female,Vegetarian,Shellfish,Weight Gain,Sedentary,157,112,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
66,Male,Gluten-Free,Gluten,Muscle Gain,Moderate,194,54,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
53,Male,Vegetarian,Lactose,PCOD/PCOS Cure,Active,152,66,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
25,Male,Vegetarian,None,Weight Gain,Sedentary,150,82,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
22,Female,Non-Vegetarian,Nuts,PCOD/PCOS Cure,Sedentary,155,57,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
40,Male,Dairy-Free,Shellfish,Weight Gain,Active,166,106,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
54,Female,Non-Vegetarian,Nuts,Diabetes Management,Sedentary,162,99,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
35,Female,Dairy-Free,None,Weight Loss,Sedentary,169,63,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
26,Female,Gluten-Free,Lactose,PCOD/PCOS Cure,Moderate,184,91,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
51,Female,Non-Vegetarian,Shellfish,Diabetes Management,Active,176,94,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
27,Female,Non-Vegetarian,None,PCOD/PCOS Cure,Moderate,170,75,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
38,Male,Gluten-Free,Nuts,Muscle Gain,Active,165,112,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
33,Female,Gluten-Free,Nuts,Muscle Gain,Moderate,164,86,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
49,Female,Non-Vegetarian,Lactose,Weight Gain,Sedentary,189,52,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
30,Female,Dairy-Free,Shellfish,Weight Loss,Sedentary,154,67,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
37,Male,Dairy-Free,Lactose,Weight Loss,Moderate,159,60,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
44,Female,Gluten-Free,Lactose,Weight Loss,Active,187,79,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
36,Female,Dairy-Free,None,Diabetes Management,Sedentary,167,57,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
28,Female,Dairy-Free,Nuts,Muscle Gain,Moderate,193,104,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
35,Male,Dairy-Free,Shellfish,Diabetes Management,Active,187,106,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
27,Female,Vegan,Nuts,Muscle Gain,Moderate,192,98,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
23,Female,Non-Vegetarian,Nuts,PCOD/PCOS Cure,Active,150,54,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
56,Male,Dairy-Free,Lactose,Weight Gain,Active,189,73,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
54,Female,Vegan,Gluten,Weight Gain,Sedentary,151,53,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
22,Female,Dairy-Free,None,Weight Gain,Sedentary,153,85,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
67,Male,Vegetarian,Lactose,Weight Loss,Moderate,159,59,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
60,Male,Gluten-Free,Lactose,PCOD/PCOS Cure,Moderate,163,75,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
59,Male,Vegan,Lactose,Muscle Gain,Moderate,152,78,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
35,Male,Dairy-Free,Lactose,Weight Gain,Moderate,188,96,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
49,Male,Dairy-Free,Lactose,Diabetes Management,Active,169,105,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
69,Female,Gluten-Free,Gluten,Weight Loss,Active,167,53,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
29,Male,Dairy-Free,Gluten,Weight Loss,Active,182,61,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
53,Male,Vegan,None,Weight Loss,Moderate,150,70,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
62,Male,Vegan,Nuts,Muscle Gain,Sedentary,155,79,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
46,Male,Gluten-Free,Lactose,Diabetes Management,Moderate,171,50,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
52,Male,Non-Vegetarian,Lactose,PCOD/PCOS Cure,Sedentary,181,107,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
57,Female,Gluten-Free,None,Diabetes Management,Active,165,101,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
25,Male,Vegetarian,None,Diabetes Management,Active,200,54,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
65,Female,Non-Vegetarian,Nuts,Weight Gain,Moderate,186,95,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
